"population_context_id","year","total"
1,2011,30715
1,2012,30960.06
1,2013,31165.94
1,2014,31701.81
1,2015,32290.15
1,2016,32854.05
1,2017,33421.27
1,2018,33978.35
1,2019,34523.78
1,2020,35056.21
1,2021,35620.67
1,2022,36232.1
1,2023,36855.01
1,2024,37473.55
1,2025,38121.57
1,2026,38757.67
1,2027,39363.72
1,2028,39981.3
1,2029,40604.63
1,2030,41217.09
1,2031,41851.04
1,2032,42479.4
1,2033,43138.54
1,2034,43807.21
1,2035,44480.79
1,2036,45165.49
1,2037,45783.84
1,2038,46407.98
1,2039,47033.15
1,2040,47662.2
1,2041,48289.7
1,2042,48922.06
1,2043,49566.26
1,2044,50210.88
1,2045,50828.42
1,2046,51456.43
1,2047,52056.15
1,2048,52647.02
1,2049,53232.79
1,2050,53819.49
