"population_context_id","zone_id","year","total"
1,1,2011,8079.052
1,1,2012,8163.338
1,1,2013,8218.933
1,1,2014,8301.058
1,1,2015,8383.773
1,1,2016,8468.116
1,1,2017,8552.462
1,1,2018,8634.864
1,1,2019,8716.173
1,1,2020,8796.707
1,1,2021,8876.488
1,1,2022,8955.258
1,1,2023,9033.228
1,1,2024,9110.394
1,1,2025,9186.073
1,1,2026,9260.646
1,1,2027,9333.719
1,1,2028,9405.405
1,1,2029,9475.66
1,1,2030,9544.474
1,1,2031,9611.839
1,1,2032,9677.759
1,1,2033,9742.234
1,1,2034,9805.648
1,1,2035,9867.829
1,1,2036,9935.864
1,1,2037,10002.52
1,1,2038,10067.67
1,1,2039,10131.47
1,1,2040,10193.78
1,1,2041,10254.63
1,1,2042,10314.13
1,1,2043,10372.32
1,1,2044,10429.23
1,1,2045,10484.84
1,1,2046,10539.15
1,1,2047,10592.14
1,1,2048,10643.81
1,1,2049,10694.21
1,1,2050,10743.33
1,2,2011,3182.832
1,2,2012,3216.037
1,2,2013,3237.939
1,2,2014,3270.294
1,2,2015,3302.88
1,2,2016,3336.108
1,2,2017,3369.337
1,2,2018,3401.801
1,2,2019,3433.833
1,2,2020,3465.56
1,2,2021,3496.991
1,2,2022,3528.023
1,2,2023,3558.74
1,2,2024,3589.14
1,2,2025,3618.955
1,2,2026,3648.334
1,2,2027,3677.122
1,2,2028,3705.364
1,2,2029,3733.042
1,2,2030,3760.151
1,2,2031,3786.69
1,2,2032,3812.66
1,2,2033,3838.061
1,2,2034,3863.044
1,2,2035,3887.541
1,2,2036,3914.344
1,2,2037,3940.604
1,2,2038,3966.271
1,2,2039,3991.403
1,2,2040,4015.952
1,2,2041,4039.927
1,2,2042,4063.367
1,2,2043,4086.291
1,2,2044,4108.709
1,2,2045,4130.62
1,2,2046,4152.016
1,2,2047,4172.891
1,2,2048,4193.247
1,2,2049,4213.101
1,2,2050,4232.452
1,3,2011,4212.434
1,3,2012,4256.381
1,3,2013,4285.368
1,3,2014,4328.188
1,3,2015,4371.316
1,3,2016,4415.293
1,3,2017,4459.271
1,3,2018,4502.236
1,3,2019,4544.63
1,3,2020,4586.621
1,3,2021,4628.219
1,3,2022,4669.29
1,3,2023,4709.943
1,3,2024,4750.178
1,3,2025,4789.637
1,3,2026,4828.52
1,3,2027,4866.62
1,3,2028,4903.998
1,3,2029,4940.629
1,3,2030,4976.508
1,3,2031,5011.633
1,3,2032,5046.003
1,3,2033,5079.621
1,3,2034,5112.685
1,3,2035,5145.106
1,3,2036,5180.58
1,3,2037,5215.334
1,3,2038,5249.304
1,3,2039,5282.567
1,3,2040,5315.058
1,3,2041,5346.788
1,3,2042,5377.811
1,3,2043,5408.149
1,3,2044,5437.821
1,3,2045,5466.819
1,3,2046,5495.136
1,3,2047,5522.764
1,3,2048,5549.705
1,3,2049,5575.981
1,3,2050,5601.592
1,4,2011,1954.345
1,4,2012,1974.734
1,4,2013,1988.182
1,4,2014,2008.049
1,4,2015,2028.058
1,4,2016,2048.461
1,4,2017,2068.864
1,4,2018,2088.798
1,4,2019,2108.466
1,4,2020,2127.948
1,4,2021,2147.247
1,4,2022,2166.302
1,4,2023,2185.163
1,4,2024,2203.829
1,4,2025,2222.136
1,4,2026,2240.176
1,4,2027,2257.852
1,4,2028,2275.194
1,4,2029,2292.188
1,4,2030,2308.835
1,4,2031,2325.13
1,4,2032,2341.077
1,4,2033,2356.673
1,4,2034,2372.013
1,4,2035,2387.055
1,4,2036,2403.513
1,4,2037,2419.637
1,4,2038,2435.397
1,4,2039,2450.83
1,4,2040,2465.904
1,4,2041,2480.625
1,4,2042,2495.018
1,4,2043,2509.093
1,4,2044,2522.859
1,4,2045,2536.312
1,4,2046,2549.45
1,4,2047,2562.268
1,4,2048,2574.767
1,4,2049,2586.958
1,4,2050,2598.84
