"scenario_id","source_type","target_type","year","total","source_id","target_id"
42,"FuelType","Sector",2011,0.2211428,1,1
42,"FuelType","Sector",2012,0.2434482,1,1
42,"FuelType","Sector",2013,0.274885,1,1
42,"FuelType","Sector",2014,0.3057645,1,1
42,"FuelType","Sector",2015,0.3361882,1,1
42,"FuelType","Sector",2016,0.3727277,1,1
42,"FuelType","Sector",2017,0.408064,1,1
42,"FuelType","Sector",2018,0.4407994,1,1
42,"FuelType","Sector",2019,0.4716351,1,1
42,"FuelType","Sector",2020,0.4989245,1,1
42,"FuelType","Sector",2021,0.5301533,1,1
42,"FuelType","Sector",2022,0.5607609,1,1
42,"FuelType","Sector",2023,0.5876859,1,1
42,"FuelType","Sector",2024,0.609025,1,1
42,"FuelType","Sector",2025,0.6253494,1,1
42,"FuelType","Sector",2026,0.6371836,1,1
42,"FuelType","Sector",2027,0.6479356,1,1
42,"FuelType","Sector",2028,0.6583818,1,1
42,"FuelType","Sector",2029,0.6687725,1,1
42,"FuelType","Sector",2030,0.6791563,1,1
42,"FuelType","Sector",2031,0.6895393,1,1
42,"FuelType","Sector",2032,0.6999222,1,1
42,"FuelType","Sector",2033,0.7103052,1,1
42,"FuelType","Sector",2034,0.7206882,1,1
42,"FuelType","Sector",2035,0.7310713,1,1
42,"FuelType","Sector",2036,0.7414546,1,1
42,"FuelType","Sector",2037,0.7518383,1,1
42,"FuelType","Sector",2038,0.7622227,1,1
42,"FuelType","Sector",2039,0.7726072,1,1
42,"FuelType","Sector",2040,0.7829917,1,1
42,"FuelType","Sector",2041,0.7933764,1,1
42,"FuelType","Sector",2042,0.8037184,1,1
42,"FuelType","Sector",2043,0.814061,1,1
42,"FuelType","Sector",2044,0.8244041,1,1
42,"FuelType","Sector",2045,0.834748,1,1
42,"FuelType","Sector",2046,0.8472522,1,1
42,"FuelType","Sector",2047,0.8597694,1,1
42,"FuelType","Sector",2048,0.8722868,1,1
42,"FuelType","Sector",2049,0.8848041,1,1
42,"FuelType","Sector",2050,0.8973215,1,1
42,"FuelType","Sector",2011,1.633391,1,2
42,"FuelType","Sector",2012,1.654333,1,2
42,"FuelType","Sector",2013,1.654333,1,2
42,"FuelType","Sector",2014,1.654333,1,2
42,"FuelType","Sector",2015,1.654333,1,2
42,"FuelType","Sector",2016,1.654333,1,2
42,"FuelType","Sector",2017,1.697686,1,2
42,"FuelType","Sector",2018,1.697686,1,2
42,"FuelType","Sector",2019,1.697686,1,2
42,"FuelType","Sector",2020,1.697686,1,2
42,"FuelType","Sector",2021,1.697686,1,2
42,"FuelType","Sector",2022,1.752516,1,2
42,"FuelType","Sector",2023,1.752516,1,2
42,"FuelType","Sector",2024,1.752516,1,2
42,"FuelType","Sector",2025,1.752516,1,2
42,"FuelType","Sector",2026,1.752516,1,2
42,"FuelType","Sector",2027,1.807347,1,2
42,"FuelType","Sector",2028,1.807347,1,2
42,"FuelType","Sector",2029,1.807347,1,2
42,"FuelType","Sector",2030,1.807347,1,2
42,"FuelType","Sector",2031,1.807347,1,2
42,"FuelType","Sector",2032,1.862178,1,2
42,"FuelType","Sector",2033,1.862178,1,2
42,"FuelType","Sector",2034,1.862178,1,2
42,"FuelType","Sector",2035,1.862178,1,2
42,"FuelType","Sector",2036,1.862178,1,2
42,"FuelType","Sector",2037,1.917008,1,2
42,"FuelType","Sector",2038,1.917008,1,2
42,"FuelType","Sector",2039,1.917008,1,2
42,"FuelType","Sector",2040,1.917008,1,2
42,"FuelType","Sector",2041,1.917008,1,2
42,"FuelType","Sector",2042,1.971839,1,2
42,"FuelType","Sector",2043,1.971839,1,2
42,"FuelType","Sector",2044,1.971839,1,2
42,"FuelType","Sector",2045,1.971839,1,2
42,"FuelType","Sector",2046,1.971839,1,2
42,"FuelType","Sector",2047,2.02667,1,2
42,"FuelType","Sector",2048,2.02667,1,2
42,"FuelType","Sector",2049,2.02667,1,2
42,"FuelType","Sector",2050,2.02667,1,2
42,"FuelType","Sector",2011,0.1937012,1,3
